Duration,Date,Pulse,Maxpulse,Calories,HeartRate,Temperature,Distance,Sleep Quality
60,1/1/2024,110,130,409.1,78,36.5,5,4
45,1/2/2024,117,145,479,85,37,4.5,3
60,1/3/2024,103,135,340,80,36.8,6,5
45,1/4/2024,109,175,282.4,82,37.1,4,2
60,1/5/2024,117,148,406,88,36.9,5.2,4
60,1/6/2024,102,127,300,79,36.7,5.8,5
450,1/7/2024,110,136,374,90,37.2,7,3
30,1/8/2024,109,133,195.1,84,36.6,4.2,2
60,1/9/2024,98,124,269,77,36.8,5.5,4
60,1/10/2024,103,147,329.3,81,37,6.1,5
60,1/11/2024,100,120,250.7,76,36.9,5.4,3
60,1/12/2024,100,120,250.7,77,37.1,5.6,4
60,1/13/2024,106,128,345.3,82,36.7,5.8,5
60,1/14/2024,104,132,379.3,85,37.2,6,3
60,1/15/2024,98,123,275,78,36.8,5.3,2
60,1/16/2024,98,120,215.2,76,37,4.9,5
60,1/17/2024,100,120,300,80,37.1,5.7,4
45,1/18/2024,90,112,NaN,74,36.9,4,3
60,1/19/2024,103,123,323,82,37.2,6.2,4
45,1/20/2024,97,125,243,79,36.8,5,3
60,1/21/2024,108,131,364.2,85,37,6.5,4
45,1/22/2024,100,119,282,76,36.9,4.8,2
60,1/23/2024,130,101,300,89,37.2,7,5
45,1/24/2024,105,132,246,81,37.1,5.5,3
60,1/25/2024,102,126,334.5,78,36.8,5.7,4
60,1/26/2024,100,120,250,77,36.7,5.6,3
